v (/Vop /Vom); ac dB20(V) (L0=1.5e-10) X,v (/Vop /Vom); ac dB20(V) (L0=1.5e-10) Y,v (/Vop /Vom); ac dB20(V) (L0=1.625e-10) X,v (/Vop /Vom); ac dB20(V) (L0=1.625e-10) Y,v (/Vop /Vom); ac dB20(V) (L0=1.75e-10) X,v (/Vop /Vom); ac dB20(V) (L0=1.75e-10) Y,v (/Vop /Vom); ac dB20(V) (L0=1.82e-10) X,v (/Vop /Vom); ac dB20(V) (L0=1.82e-10) Y,v (/Vop /Vom); ac dB20(V) (L0=1.875e-10) X,v (/Vop /Vom); ac dB20(V) (L0=1.875e-10) Y,v (/Vop /Vom); ac dB20(V) (L0=2e-10) X,v (/Vop /Vom); ac dB20(V) (L0=2e-10) Y
20000000000,-75.50565687119699,20000000000,-74.57470931576422,20000000000,-73.71297042789439,20000000000,-73.25926772487021,20000000000,-72.9169633331371,20000000000,-72.18460523190838
20400000000,-75.23445904801292,20400000000,-74.29366450476489,20400000000,-73.42462437362738,20400000000,-72.96816585907619,20400000000,-72.62445284927301,20400000000,-71.89162829674024
20800000000,-74.96229133807932,20800000000,-74.01198645071391,20800000000,-73.13641271014225,20800000000,-72.67784998434888,20800000000,-72.33336294478302,20800000000,-71.60193870969104
21200000000,-74.68908727562295,21200000000,-73.72977012802183,21200000000,-72.84866682582233,21200000000,-72.38881920634628,21200000000,-72.04434208096063,21200000000,-71.31657563180704
21600000000,-74.41483712186565,21600000000,-73.44720038136049,21600000000,-72.56185154240035,21600000000,-72.10173384117294,21600000000,-71.75822248653947,21600000000,-71.03681057938627
22000000000,-74.13959721070785,22000000000,-73.16456664965342,22000000000,-72.2765852614166,22000000000,-71.81743774982053,22000000000,-71.47604328610652,22000000000,-70.76416738090842
22400000000,-73.86350101675339,22400000000,-72.88227984319175,22400000000,-71.99366187553724,22400000000,-71.53698150704938,22400000000,-71.1990732251637,22400000000,-70.50043693141201
22800000000,-73.58677212015745,22800000000,-72.60089135229363,22800000000,-71.71407378808743,22800000000,-71.26164512854282,22800000000,-70.92883109430812,22800000000,-70.24768319541634
23200000000,-73.30973921630344,23200000000,-72.32111400286664,23200000000,-71.43903495475385,23200000000,-70.99295846706762,23200000000,-70.66710121476461,23200000000,-70.00823616739005
23600000000,-73.03285322515018,23600000000,-72.04384447722876,23600000000,-71.17000223817749,23600000000,-70.73271659296392,23600000000,-70.41594048600228,23600000000,-69.78466696990908
24000000000,-72.75670646477032,24000000000,-71.77018638196299,24000000000,-70.90869268543889,24000000000,-70.48298668381914,24000000000,-70.17767275180431,24000000000,-69.57974039665407
24400000000,-72.48205364427048,24400000000,-71.50147260738336,24400000000,-70.65709349268674,24400000000,-70.24610214431357,24400000000,-69.95486569000983,24400000000,-69.39634118410217
24800000000,-72.20983416582322,24800000000,-71.23928499457494,24800000000,-70.4174606278397,24800000000,-70.02463916637404,24800000000,-69.75028545330078,24800000000,-69.23737254748256
25200000000,-71.94119483502665,25200000000,-70.9854685632105,25200000000,-70.19230145757075,25200000000,-69.82137097612913,25200000000,-69.56682521706873,25200000000,-69.10562912796669
25600000000,-71.67751155774341,25600000000,-70.74213673289773,25600000000,-69.98433654170074,25600000000,-69.63919593927456,25600000000,-69.40740590472078,25600000000,-69.00365120077713
26000000000,-71.42040794725173,26000000000,-70.51166322666715,26000000000,-69.79643636822699,26000000000,-69.48103785242103,26000000000,-69.27485087362581,26000000000,-68.93357204340774
26400000000,-71.17176802832631,26400000000,-70.29665592137833,26400000000,-69.63153056949855,26400000000,-69.3497202916827,26400000000,-69.17174101208079,26400000000,-68.89697454811736
26800000000,-70.93373940474257,26800000000,-70.09990801882151,26800000000,-69.49249020664068,26800000000,-69.24782152805427,26800000000,-69.10026176672127,26800000000,-68.89477492442714
27200000000,-70.70872259787281,27200000000,-69.92432302320009,27200000000,-69.38198810086593,27200000000,-69.17752163537422,27200000000,-69.06205794284784,27200000000,-68.92714971769584
27600000000,-70.49934188378784,27600000000,-69.77281229764129,27600000000,-69.30234720112806,27600000000,-69.140457659305,27600000000,-69.05811416968496,27600000000,-68.99351701139975
28000000000,-70.30839324884693,28000000000,-69.64816764777439,28000000000,-69.25539167256511,28000000000,-69.13760475981871,28000000000,-69.08867759613729,28000000000,-69.09257469143047
28400000000,-70.13876631017808,28400000000,-69.55291606102593,28400000000,-69.24231824515221,28400000000,-69.16919981475115,28400000000,-69.15323431226112,28400000000,-69.2223898706405
28800000000,-69.99333950501227,28800000000,-69.48916870097766,28800000000,-69.26360510125173,28800000000,-69.23471884340051,28800000000,-69.25054309471885,28800000000,-69.38052632602964
29200000000,-69.87485161419237,29200000000,-69.45848023018929,29200000000,-69.31897162764433,29200000000,-69.33291171956515,29200000000,-69.37872127132813,29200000000,-69.56419272010004
29600000000,-69.78575734149801,29600000000,-69.46173609909286,29600000000,-69.40739515316372,29600000000,-69.46188880236616,29600000000,-69.53536999885553,29600000000,-69.77039402082279
30000000000,-69.72807944471178,30000000000,-69.49908356170107,30000000000,-69.52718207782014,30000000000,-69.6192466967566,30000000000,-69.71772186188609,30000000000,-69.99607132411714
30400000000,-69.70327351907217,30400000000,-69.56991671985499,30400000000,-69.67608271743447,30400000000,-69.80221602692106,30400000000,-69.92279305373879,30400000000,-70.23821993432891
30800000000,-69.71212257110263,30800000000,-69.67291784494402,30800000000,-69.85143373179508,30800000000,-70.00781347260524,30800000000,-70.14752494648404,30800000000,-70.4939805697683
31200000000,-69.75467623919084,31200000000,-69.80614870234781,31200000000,-70.05031031195824,31200000000,-70.23298302355508,31200000000,-70.38890449002837,31200000000,-70.76070301210235
31600000000,-69.83024368209358,31600000000,-69.96717851854986,31600000000,-70.26967192501421,31600000000,-70.47471590013521,31600000000,-70.64405788999873,31600000000,-71.03598456736223
32000000000,-69.93744122953304,32000000000,-70.15323149345858,32000000000,-70.50648959265921,32000000000,-70.73014373804889,32000000000,-70.91031655078288,32000000000,-71.31768754750105
32400000000,-70.07428759343065,32400000000,-70.36133658200377,32400000000,-70.75784769967576,32400000000,-70.99660406768001,32400000000,-71.18525750247602,32400000000,-71.60394059680573
32800000000,-70.23833295258362,32800000000,-70.58846513598266,32800000000,-71.02101804413894,32800000000,-71.27168032945461,32800000000,-71.46672240321442,32800000000,-71.89312851703436
33200000000,-70.42680502295551,33200000000,-70.8316466684382,33200000000,-71.29350752624268,33200000000,-71.55322057058962,33200000000,-71.75281995952302,33200000000,-72.18387466346884
33600000000,-70.63675545029389,33600000000,-71.08805792884003,33600000000,-71.57308312175978,33600000000,-71.83933964015023,33600000000,-72.0419164766662,33600000000,-72.47501914306841
34000000000,-70.8651929739019,34000000000,-71.35508476602658,34000000000,-71.85777883589904,34000000000,-72.12840959620634,34000000000,-72.33261866541207,34000000000,-72.76559525590895
34400000000,-71.10919437561465,34400000000,-71.63035924237901,34400000000,-72.14588942581808,34400000000,-72.41904241796732,34400000000,-72.62375201240171,34400000000,-73.05480586315583
34800000000,-71.36598907626804,34800000000,-71.9117762082122,34800000000,-72.43595523155703,34800000000,-72.71006834874156,34800000000,-72.91433722954591,34800000000,-73.3420008156554
35200000000,-71.63301723912271,35200000000,-72.19749410483503,35200000000,-72.72674167976258,35200000000,-73.00051235482196,35200000000,-73.20356654659659,35200000000,-73.62665610153196
35600000000,-71.90796400319725,35600000000,-72.48592455449609,35600000000,-73.01721616662695,35600000000,-73.28957042205545,35600000000,-73.49078097345529,35600000000,-73.90835501915655
36000000000,-72.18877407838063,36000000000,-72.77571475580368,36000000000,-73.30652432683698,36000000000,-73.57658687352151,36000000000,-73.77544926342469,36000000000,-74.18677151649629
36400000000,-72.4736513064863,36400000000,-73.06572580306337,36400000000,-73.59396696596802,36400000000,-73.86103335371421,36400000000,-74.05714888656205,36400000000,-74.46165561743089
36800000000,-72.76104768519667,36800000000,-73.35500935431219,36800000000,-73.87897851832697,36800000000,-74.14248986666738,36800000000,-74.33554917535051,36800000000,-74.7328208450383
37200000000,-73.04964561591133,37200000000,-73.64278427268378,37200000000,-74.16110744124376,37200000000,-74.42062795730961,37200000000,-74.61039658213879,37200000000,-75.00013343950452
37600000000,-73.33833640970484,37600000000,-73.92841432529094,37600000000,-74.43999873221627,37600000000,-74.69519600460021,37600000000,-74.88150192617934,37600000000,-75.26350318010901
38000000000,-73.62619731742927,38000000000,-74.21138759610764,38000000000,-74.71537858857577,38000000000,-74.96600651337778,38000000000,-75.14872947013896,38000000000,-75.52287562393794
38400000000,-73.91246864004613,38400000000,-74.49129791999826,38400000000,-74.98704109866961,38400000000,-75.23292522274191,38400000000,-75.41198762092978,38400000000,-75.77822556905184
38800000000,-74.19653193888321,38800000000,-74.76782843693979,38800000000,-75.25483680401349,38800000000,-75.49586183414728,38800000000,-75.67122105755929,38800000000,-76.02955156636413
39200000000,-74.47788994419697,39200000000,-75.04073722737877,39200000000,-75.51866294452162,39200000000,-75.75476216565177,39200000000,-75.92640410033302,39200000000,-76.27687133050937
39600000000,-74.75614846042973,39600000000,-75.30984490275965,39600000000,-75.77845519161183,39600000000,-76.00960154633313,39600000000,-76.17753514990041,39600000000,-76.52021791573677
40000000000,-75.03100034114715,40000000000,-75.57502396662785,40000000000,-76.03418066845458,40000000000,-76.26037926731689,40000000000,-76.42463202932049,40000000000,-76.75963652867198
